turn,individual_sum,community_sum,total_sum,cooperation_avg,lambda_avg
272,0.7297593508208742,0.6658007283367353,1.3955600791576095,0.6314748276971559,0.5551833333333334
273,0.7294198158820706,0.6708696506144717,1.4002894664965422,0.6334888445928294,0.5567833333333333
274,0.5995503280405906,0.6704090956749085,1.269959423715499,0.6354895856569182,0.5583833333333333
275,0.5556834815867067,0.6739999639089166,1.2296834454956231,0.6374924430458053,0.5599833333333334
276,0.5378929832743353,0.6728265241025367,1.2107195073768722,0.6394794301554435,0.5615666666666667
277,0.39975593848047114,0.6778914260335152,1.0776473645139863,0.6414741560549908,0.5631666666666667
278,0.3825559384804712,0.6777864466768093,1.0603423851572806,0.6434571022491854,0.5647666666666666
279,0.40340593848047085,0.6793260314818181,1.082731969962289,0.6454345302688811,0.56635
280,0.38810593848047115,0.6798303532522374,1.0679362917327087,0.6474025943671616,0.5679166666666667
281,0.5337259384804691,0.7197778002214472,1.2535037387019163,0.6495091018614594,0.5696166666666667
282,0.3934059384804703,0.6933248790239351,1.0867308175044055,0.6515044996011686,0.5712166666666666
283,0.3907759384804712,0.6944345686106482,1.0852105070911193,0.6534926713000059,0.5728166666666666
284,0.38904593848047125,0.6969854182206583,1.0860313567011295,0.6554790466042646,0.5743833333333334
285,0.6211859384804701,0.7031142893154001,1.3243002277958702,0.6574769565704707,0.576
286,0.42282593848046945,0.7012298752209001,1.1240558137013694,0.6594564819266132,0.57755
287,0.41163593848047114,0.7044409636544281,1.1160769021348993,0.6614366984076795,0.5791499999999999
288,0.4030459384804711,0.7034848631332886,1.1065308016137596,0.6634021263442612,0.5807
289,0.6313188289812715,0.7064513452195849,1.3377701742008563,0.6653674024379291,0.5823
290,0.7298115316658618,0.7085119432382168,1.4383234749040785,0.6673291765406294,0.5838666666666666
291,0.768508172121489,0.7100112862334556,1.4785194583549444,0.669285393571775,0.5854166666666667
292,0.5174090375261846,0.7119698509279997,1.229378888454184,0.6712377815576472,0.5870000000000001
293,0.5597287243307589,0.7170529651053373,1.2767816894360964,0.673197884610515,0.5885666666666667
294,0.5306291527441324,0.7189621614566495,1.249591314200782,0.6751539407517425,0.5901166666666667
295,0.5180354100364395,0.7170888763078174,1.2351242863442569,0.6770920598403126,0.5917
296,0.4348800000000003,0.7184717328328657,1.153351732832866,0.6790243373332986,0.5932000000000001
297,0.39625000000000066,0.7236812309930684,1.119931230993069,0.6809648597129684,0.5948
298,0.3927000000000004,0.7245568113596355,1.1172568113596357,0.6828976589709964,0.5962999999999999
299,0.38640000000000063,0.7239418992123846,1.1103418992123852,0.6848173288792085,0.5978666666666667
300,0.3846000000000007,0.7252903487971537,1.1098903487971543,0.6867311466084046,0.5993833333333334
301,0.5302199999999987,0.7479314163966829,1.2781514163966816,0.6887169432075781,0.6009833333333333
302,0.3898999999999998,0.7347731916688337,1.1246731916688335,0.6906434927791939,0.6024833333333334
